    Time     Lat      Lon Height   DME VOR     U     V     W    P   T  RH
                               m    NM mag   m/s   m/s   m/s  hPa   C   %
00:00:00  34.126 -117.772    436   0.0   0  -2.5  -1.0   5.0  973   7  16
00:00:30  34.126 -117.773    590   0.1 242  -3.8  -0.6   5.0  950  13  26
00:01:14  34.126 -117.774    813   0.1 243  -3.9  -1.2   5.0  925  11  27
00:01:59  34.125 -117.776   1040   0.2 239  -3.9  -1.9   5.0  900   9  28
00:03:33  34.123 -117.781   1510   0.5 234  -4.6  -2.5   5.0  850   6  29
00:05:11  34.121 -117.785   2002   0.8 231  -4.0  -2.5   5.0  800   3  25
00:06:54  34.118 -117.788   2523   1.0 225  -1.2  -3.5   5.0  750   2  18
00:08:45  34.113 -117.787   3078   1.1 212   2.5  -6.1   5.0  700   1  16
00:10:42  34.106 -117.783   3673   1.4 191   4.2  -8.9   5.1  650  -0  20
00:12:47  34.095 -117.777   4310   1.9 174   5.2 -10.8   5.1  600  -3  28
00:15:01  34.081 -117.766   4992   2.7 161   8.9 -12.1   5.1  550  -7  35
00:17:23  34.065 -117.749   5727   3.8 149  13.2 -12.3   5.2  500 -12  38
00:19:56  34.049 -117.726   6524   5.2 140  15.0 -11.7   5.2  450 -18  33
00:22:41  34.033 -117.698   7394   6.7 133  16.3 -10.1   5.3  400 -24  27
00:25:40  34.020 -117.665   8357   8.3 127  18.0  -6.0   5.4  350 -30  37
00:28:57  34.012 -117.624   9434  10.1 119  20.5  -2.9   5.5  300 -39  57
00:32:35  34.006 -117.575  10658  12.2 113  20.5  -3.0   5.7  250 -48  51
00:36:46  33.990 -117.525  12110  14.8 110  16.4 -11.5   5.9  200 -54  27
00:41:49  33.955 -117.481  13920  17.7 112  10.4 -13.8   6.1  150 -61  17
00:44:43  33.935 -117.466  15000  19.1 113   5.1 -12.1   6.2  100 -70  10
00:46:30  33.922 -117.457  13920  19.9 114  10.4 -13.8  -7.8  150 -61  17
00:50:36  33.894 -117.422  12110  22.3 115  16.4 -11.5  -6.9  200 -54  27
00:54:16  33.880 -117.378  10658  24.6 113  20.5  -3.0  -6.3  250 -48  51
00:57:39  33.874 -117.333   9434  26.6 111  20.5  -2.9  -5.8  300 -39  57
01:00:49  33.867 -117.293   8357  28.5 109  18.0  -6.0  -5.5  350 -30  37
01:03:49  33.854 -117.260   7394  30.3 109  16.3 -10.1  -5.2  400 -24  27
01:06:40  33.837 -117.231   6524  32.0 109  15.0 -11.7  -5.0  450 -18  33
01:09:23  33.819 -117.206   5727  33.7 109  13.2 -12.3  -4.8  500 -12  38
01:12:01  33.802 -117.187   4992  35.0 110   8.9 -12.1  -4.6  550  -7  35
01:14:32  33.787 -117.176   4310  36.0 111   5.2 -10.8  -4.4  600  -3  28
01:16:58  33.774 -117.168   3673  36.8 111   4.2  -8.9  -4.3  650  -0  20
01:19:20  33.764 -117.163   3078  37.3 112   2.5  -6.1  -4.1  700   1  16
01:21:36  33.758 -117.162   2523  37.5 112  -1.2  -3.5  -4.0  750   2  18
01:23:49  33.755 -117.166   2002  37.5 113  -4.0  -2.5  -3.9  800   3  25
01:25:57  33.752 -117.172   1510  37.4 113  -4.6  -2.5  -3.8  850   6  29
01:28:03  33.749 -117.178   1040  37.3 114  -3.9  -1.9  -3.7  900   9  28
01:29:05  33.748 -117.180    813  37.2 114  -3.9  -1.2  -3.7  925  11  27
01:30:06  33.748 -117.183    590  37.1 114  -3.8  -0.6  -3.6  950  13  26
01:30:49  33.748 -117.184    436  37.1 114  -2.5  -1.0  -3.5  973   7  1
